rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:01:04.63,-31.74,6.84,1026.86,-0.55,1.22,0.18,-10.20,10.20,20.40,29.95,333.33,
01/01/2000,00:01:04.63,-52.73,21.48,1007.32,-4.15,-3.48,-5.00,-12.15,12.00,19.80,29.66,34.48,
01/01/2000,00:01:04.63,-24.90,-11.72,1021.00,-0.37,-0.30,-2.38,-12.00,10.65,21.75,29.80,38.46,
01/01/2000,00:01:04.63,-33.69,10.74,1031.25,1.10,2.87,1.77,-10.50,12.15,18.90,29.61,40.82,
01/01/2000,00:01:04.63,-41.50,10.25,1013.67,0.49,1.65,-4.76,-12.15,11.55,19.80,29.80,42.37,
01/01/2000,00:01:04.63,-36.13,3.91,1022.46,2.62,3.23,-2.20,-10.05,11.25,19.50,29.56,43.48,
01/01/2000,00:01:04.63,-43.46,8.79,1028.81,-0.24,0.91,-2.99,-11.85,11.25,20.85,29.61,44.30,
01/01/2000,00:01:04.63,-22.46,8.30,1012.70,-0.73,-0.18,-1.46,-10.50,11.40,20.40,29.61,44.94,
01/01/2000,00:01:04.63,-29.79,16.60,989.26,-2.13,-4.02,-4.27,-10.20,10.95,20.40,29.66,45.45,
01/01/2000,00:01:04.63,-16.11,4.39,995.12,-1.16,-1.34,-2.44,-10.80,11.25,18.30,29.80,45.87,
01/01/2000,00:01:04.63,-16.11,0.49,1003.42,0.30,-0.91,-4.45,-10.80,11.55,19.50,29.66,46.22,
01/01/2000,00:01:04.63,-34.18,9.28,1046.39,-0.73,-1.40,-1.46,-12.45,10.95,21.45,29.61,46.51,
01/01/2000,00:01:04.63,-24.41,18.55,1039.06,-0.73,-1.65,0.67,-11.55,11.55,19.05,29.47,46.76,
01/01/2000,00:01:04.63,-12.21,5.37,1032.71,-0.43,-1.40,2.13,-10.95,11.40,19.95,29.61,46.98,
01/01/2000,00:01:04.63,-45.90,16.11,1027.34,-4.21,0.24,-2.01,-11.10,11.25,20.55,29.80,47.17,
01/01/2000,00:01:04.63,-27.34,5.37,988.28,-1.65,-3.41,-5.18,-11.55,12.75,20.10,29.95,47.34,
01/01/2000,00:01:04.63,-4.39,14.16,992.19,-1.40,4.15,-2.74,-10.50,11.85,19.20,29.80,47.49,
01/01/2000,00:01:04.63,-34.18,15.62,1039.06,-1.52,-0.49,-1.71,-11.85,12.00,18.75,29.90,47.62,
01/01/2000,00:01:04.63,-21.97,2.44,1002.44,-3.17,-1.28,-2.20,-11.85,12.45,19.80,29.90,47.74,
01/01/2000,00:01:04.63,-10.74,18.55,1000.98,-0.37,-0.98,0.73,-11.25,12.60,18.90,29.56,47.85,
01/01/2000,00:01:04.63,-24.90,31.74,988.77,-0.18,0.98,2.44,-11.10,12.00,18.30,29.99,47.95,
01/01/2000,00:01:04.63,-58.59,48.34,1012.70,0.98,0.24,2.13,-11.10,11.55,20.10,29.80,48.03,
01/01/2000,00:01:04.63,-72.27,59.08,1022.46,-2.56,-4.02,-0.12,-10.50,10.20,19.95,29.80,48.12,
01/01/2000,00:01:04.63,-60.06,54.20,1024.41,-1.34,-8.54,-0.55,-13.35,11.25,20.10,29.80,48.19,
01/01/2000,00:01:04.63,-45.90,44.92,1029.30,1.59,-2.26,1.22,-12.45,11.85,20.70,29.56,48.26,
01/01/2000,00:01:04.63,-106.45,75.68,979.00,3.17,0.73,4.51,-12.60,10.80,20.10,29.80,47.02,
01/01/2000,00:01:04.63,-110.35,73.73,998.54,8.11,2.44,1.95,-11.70,10.65,20.70,29.80,47.12,
01/01/2000,00:01:04.63,-119.63,68.36,1012.70,7.50,-0.43,0.18,-11.85,10.50,20.85,29.80,47.22,
01/01/2000,00:01:04.63,-111.33,55.66,1021.00,5.61,-0.30,-4.15,-10.80,11.55,19.50,29.75,47.31,
01/01/2000,00:01:04.63,-131.84,32.23,1015.62,6.65,-2.50,-4.70,-11.85,12.00,20.55,29.66,47.39,
01/01/2000,00:01:04.63,-109.86,2.44,999.51,6.89,-6.71,-2.80,-10.50,12.60,17.70,29.66,47.47,
01/01/2000,00:01:04.63,-92.77,-2.44,955.08,6.95,-3.72,-0.37,-10.80,11.25,19.80,29.56,47.55,
01/01/2000,00:01:04.63,-72.75,-1.46,967.77,12.99,-3.48,-3.54,-11.85,12.00,19.05,29.99,47.62,
01/01/2000,00:01:04.63,-96.68,-31.25,993.16,12.68,-8.72,1.10,-10.95,12.00,19.05,29.80,47.69,
01/01/2000,00:01:04.63,-90.82,-37.11,1001.46,11.10,-13.17,2.38,-12.45,12.90,20.70,29.47,47.75,
01/01/2000,00:01:04.63,-61.52,-39.55,1041.50,9.27,-8.17,0.37,-11.85,12.00,18.75,29.95,47.81,
01/01/2000,00:01:04.63,-111.33,-20.02,1030.27,5.91,-16.40,-1.89,-11.85,11.55,19.80,29.80,47.87,
01/01/2000,00:01:04.63,-120.61,4.88,1017.09,6.52,-18.72,0.37,-12.60,14.25,19.05,29.75,47.92,
01/01/2000,00:01:04.63,-112.79,-16.11,1034.18,4.63,-10.00,2.44,-11.85,12.00,19.50,29.90,47.97,
01/01/2000,00:01:04.63,-120.61,-30.76,1079.10,9.27,-4.33,3.90,-13.35,13.20,19.05,29.80,48.02,
01/01/2000,00:01:04.63,-169.43,6.84,1083.01,2.01,-1.77,2.68,-12.60,11.25,19.05,29.61,48.07,
01/01/2000,00:01:04.63,-156.74,9.28,1052.25,0.00,-9.02,1.46,-12.45,11.40,18.15,29.61,48.11,
01/01/2000,00:01:04.63,-162.11,6.35,983.40,-6.16,-6.10,5.55,-12.75,12.90,17.70,29.75,48.15,
01/01/2000,00:01:04.63,-157.71,26.86,1004.88,1.16,-1.52,3.90,-13.65,10.50,18.75,29.80,48.19,
01/01/2000,00:01:04.63,-173.34,6.35,959.47,-2.74,-7.07,4.02,-14.40,12.45,19.80,30.09,48.23,
01/01/2000,00:01:04.63,-148.93,20.51,939.94,-7.07,-15.73,3.90,-12.75,12.90,17.70,29.90,48.27,
01/01/2000,00:01:04.63,-142.09,32.71,881.35,-5.55,-7.07,6.10,-13.50,12.15,18.90,29.80,48.30,
01/01/2000,00:01:04.63,-162.60,56.64,917.97,-0.12,3.41,7.99,-13.95,10.95,18.90,29.80,48.34,
01/01/2000,00:01:04.63,-223.14,33.69,951.66,0.67,-9.70,4.88,-12.45,12.60,18.90,29.61,48.37,
01/01/2000,00:01:04.63,-196.29,-12.70,1028.81,3.23,0.06,5.73,-15.45,10.65,20.40,29.80,46.43,
01/01/2000,00:01:04.63,-181.64,4.39,1087.40,1.59,-2.80,6.34,-12.45,9.90,18.90,29.61,46.49,
01/01/2000,00:01:04.63,-203.12,-10.25,1127.93,-1.04,-4.94,4.82,-12.45,11.85,18.90,29.99,46.55,
01/01/2000,00:01:04.63,-176.76,-5.37,1115.23,-2.56,4.88,5.00,-13.65,12.00,17.55,29.66,46.61,
01/01/2000,00:01:04.63,-129.88,0.49,1101.56,1.71,16.71,11.95,-13.20,12.15,20.70,29.90,46.67,
01/01/2000,00:01:04.63,-187.99,41.99,1041.99,3.11,16.28,12.07,-13.50,10.95,19.65,29.61,46.73,
01/01/2000,00:01:04.63,-178.71,65.92,1065.92,10.67,10.00,10.61,-13.50,9.45,20.40,29.95,46.78,
01/01/2000,00:01:04.63,-178.71,104.98,1110.84,15.37,17.62,9.45,-12.90,11.25,20.10,29.66,46.84,
01/01/2000,00:01:04.63,-169.92,119.14,1202.15,19.02,21.40,-3.96,-12.75,11.85,18.90,29.80,46.89,
01/01/2000,00:01:04.64,-177.73,132.32,1232.91,9.63,16.77,-6.10,-12.90,12.45,20.10,29.66,46.94,
01/01/2000,00:01:04.64,-182.62,138.67,1217.29,2.44,5.43,-24.15,-12.00,11.85,19.20,29.75,46.99,
01/01/2000,00:01:04.64,-122.56,119.14,1195.80,-0.18,-6.28,-37.26,-13.35,10.50,20.85,29.95,47.03,
01/01/2000,00:01:04.65,-67.38,84.96,1192.38,6.95,-19.63,-43.78,-12.15,12.45,20.55,29.56,47.04,
01/01/2000,00:01:04.65,38.57,4.88,1302.73,20.30,-22.50,-45.12,-13.35,12.45,20.10,29.95,47.12,
01/01/2000,00:01:04.65,74.71,-92.77,1481.93,18.11,-7.07,-38.54,-12.75,13.35,21.15,29.90,47.16,
01/01/2000,00:01:04.66,30.76,-101.56,1458.01,-7.44,12.20,-27.26,-12.45,14.85,19.20,29.61,47.17,
01/01/2000,00:01:04.68,10.74,6.35,1192.38,-32.07,3.11,-23.54,-12.15,13.50,22.80,29.75,47.21,
01/01/2000,00:01:04.70,85.94,74.22,958.98,-37.13,1.83,-22.87,-10.05,13.95,18.75,29.66,47.25,
01/01/2000,00:01:04.72,104.00,108.89,831.05,-25.49,14.45,-10.67,-11.55,15.15,20.10,29.95,47.29,
01/01/2000,00:01:04.74,7.81,166.50,803.71,-10.98,35.18,-10.00,-10.80,11.55,23.10,29.56,47.33,
01/01/2000,00:01:04.76,-48.34,173.83,849.61,-1.65,34.70,-16.04,-11.70,12.90,22.20,29.95,47.36,
01/01/2000,00:01:04.78,-80.57,133.79,874.51,-7.62,24.76,-31.77,-9.00,12.90,22.20,29.61,47.40,
01/01/2000,00:01:04.80,-36.13,89.84,852.05,-13.96,12.38,-35.30,-8.85,13.20,20.55,29.56,47.43,
01/01/2000,00:01:04.82,-8.30,43.46,813.96,-17.62,7.38,-37.38,-10.50,14.55,22.50,29.80,47.46,
01/01/2000,00:01:04.86,17.09,-12.21,750.49,-19.94,12.01,-25.00,-9.45,12.60,25.80,29.66,47.07,
01/01/2000,00:01:04.88,11.23,-14.65,705.08,-16.59,14.33,-11.83,-8.25,13.80,21.45,29.95,47.11,
01/01/2000,00:01:04.90,-58.11,29.30,653.32,-9.09,14.51,-6.10,-9.75,13.35,24.00,29.95,47.15,
01/01/2000,00:01:04.92,-83.50,6.35,705.57,-4.88,-4.88,-6.34,-8.55,12.45,24.60,29.75,47.18,
01/01/2000,00:01:04.94,-112.79,43.46,719.24,-8.23,-8.84,-5.12,-8.10,12.45,23.85,29.80,47.22,
01/01/2000,00:01:04.96,-123.05,45.90,721.19,-6.95,-5.37,-3.60,-9.00,12.60,24.45,29.80,47.25,
01/01/2000,00:01:04.98,-202.15,59.08,795.90,-13.41,9.57,0.18,-7.95,12.90,23.70,29.80,47.28,
01/01/2000,00:01:05.00,-251.95,55.66,893.07,-10.98,-19.57,-0.49,-7.35,12.75,22.80,29.61,47.31,
01/01/2000,00:01:05.02,-230.96,-13.67,988.77,-11.52,-19.70,0.79,-7.80,12.75,24.90,29.95,47.34,
